Message Type,Sequence Number,Latitude,Longitude,Heading
LCV_BS6_OBD2_PERIODIC,39318,12.95261,79.96518,249.16
LCV_BS6_OBD2_PERIODIC,39319,12.95262,79.96518,255.41
LCV_BS6_OBD2_PERIODIC,39320,12.95261,79.96519,71.84
LCV_BS6_OBD2_PERIODIC,39321,12.95262,79.9652,247.55
LCV_BS6_OBD2_PERIODIC,39322,12.95262,79.96518,269.92
LCV_BS6_OBD2_PERIODIC,39323,12.95261,79.96519,198.72
LCV_BS6_OBD2_PERIODIC,39324,12.9526,79.96519,59.58
LCV_BS6_OBD2_PERIODIC,39325,12.9526,79.9652,189.17
LCV_BS6_OBD2_PERIODIC,39326,12.95259,79.96519,231.3
GPS_MESSAGE,8,12.95259,79.96519,232
LCV_BS6_OBD2_PERIODIC,39327,12.9526,79.9652,19.32
GPS_MESSAGE,10,12.9526,79.9652,36
TRIP_END,10,12.9526,79.9652,
HEARTBEAT_MESSAGE,0,0,0,
TRIP_START,0,12.9526,79.9652,
VERSION_UPDATE,0,12.9526,79.9652,
GPS_MESSAGE,1,12.9526,79.9652,36
IGNITION_ON,1,12.9526,79.9652,
LCV_BS6_OBD2_PERIODIC,39328,12.9526,79.9652,36.77
LCV_BS6_OBD2_PERIODIC,39329,12.9526,79.9652,36.77
LCV_BS6_OBD2_PERIODIC,39330,12.95235,79.96512,120.51
GPS_MESSAGE,3,12.95234,79.96514,112
LCV_BS6_OBD2_PERIODIC,39331,12.95239,79.96541,69.8
LCV_BS6_OBD2_PERIODIC,39332,12.95246,79.96554,85.94
LCV_BS6_OBD2_PERIODIC,39333,12.95243,79.96577,108.41
LCV_BS6_OBD2_PERIODIC,39334,12.95238,79.96595,112.9
LCV_VEHICLE_TOWED_START,2,12.95235,79.96602,
LCV_BS6_OBD2_PERIODIC,39335,12.95232,79.96609,123.8
LCV_BS6_OBD2_PERIODIC,39336,12.95226,79.96622,117.8
LCV_BS6_OBD2_PERIODIC,39337,12.95215,79.96633,144.22
LCV_BS6_OBD2_PERIODIC,39338,12.95196,79.96634,199.96
LCV_BS6_OBD2_PERIODIC,39339,12.95175,79.96629,200.16
GPS_MESSAGE,9,12.95172,79.96626,198
LCV_BS6_OBD2_PERIODIC,39340,12.95156,79.96617,205.83
LCV_BS6_OBD2_PERIODIC,39341,12.9514,79.96612,190.77
IGNITION_OFF,4,12.95138,79.96609,
LCV_BS6_OBD2_PERIODIC,39342,12.95138,79.96608,293.11
LCV_VEHICLE_TOWED_END,5,12.95138,79.96608,
LCV_BS6_OBD2_PERIODIC,39343,12.95139,79.9661,61.31
LCV_BS6_OBD2_PERIODIC,39344,12.9514,79.96612,90.41
LCV_BS6_OBD2_PERIODIC,39345,12.95141,79.96612,228.33
LCV_BS6_OBD2_PERIODIC,39346,12.95141,79.96612,136.05
